Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
GradientBoosting,Without pumin1_4u,0.5588235294117647,0.13920187724940272,0.562121212121212,0.11582736274919025,0.6222222222222221,0.14656562175858798,0.5838095238095239,0.11458690470624788,"[0.24332933 0.37805984 0.31970368 0.86643458 0.72122467 0.46614315
 0.77030677 0.10364324 0.07402022 0.82176376 0.75208746 0.22994874]"
SVM,Without pumin1_4u,0.7078431372549019,0.15493918639324245,0.7323809523809525,0.19809523809523813,0.6666666666666666,0.17235657841653965,0.692593984962406,0.1705462884963232,"[0.04207521 0.0270144  0.04633215 0.13741173 0.12491477 0.04233952
 0.09091343 0.03870314 0.03257891 0.07124371 0.14123866 0.0581426 ]"
LogisticRegression,Without pumin5_8u,0.5562091503267974,0.10088251702784178,0.5299145299145298,0.10838199989160585,0.625,0.23765832929119374,0.5650793650793651,0.15955342061116268,"[0.07887237 0.01989549 0.09139496 0.17810438 0.19402748 0.0370573
 0.13925569 0.0390528  0.03087664 0.04297463 0.06708579 0.04196271]"
RandomForest,Without pumin5_8u,0.581045751633987,0.09512891711717782,0.615,0.12708265027138838,0.5333333333333334,0.027216552697590882,0.5649069884364002,0.06114220288018768,"[[0.02258736 0.02258736]
 [0.04622835 0.04622835]
 [0.02504102 0.02504102]
 [0.05463451 0.05463451]
 [0.04813791 0.04813791]
 [0.02889098 0.02889098]
 [0.03007578 0.03007578]
 [0.00659513 0.00659513]
 [0.00572242 0.00572242]
 [0.04230947 0.04230947]
 [0.04345544 0.04345544]
 [0.01324969 0.01324969]]"
GradientBoosting,Without pumin5_8u,0.5699346405228758,0.04421316215761508,0.5757575757575758,0.04562258501267156,0.5833333333333334,0.08606629658238704,0.5739348370927319,0.02947038780377187,"[0.22936821 0.48472742 0.43346506 0.76782057 0.7203135  0.38364827
 0.44099847 0.07553091 0.13757017 0.77868811 0.6694404  0.23340629]"
SVM,Without pumin5_8u,0.661437908496732,0.11048651821759707,0.7,0.15327120894696267,0.5777777777777777,0.10922001806298609,0.6311904761904762,0.12309869203959647,"[0.03855057 0.02288403 0.04407889 0.14015948 0.11334373 0.04557505
 0.07481566 0.04107928 0.03074101 0.07454867 0.1262272  0.05494171]"
LogisticRegression,Without pumin1_4d,0.5797385620915032,0.07479591895905864,0.5598290598290598,0.05643615049305701,0.6944444444444444,0.19934305686676837,0.6098124098124098,0.11212631915286579,"[0.08401078 0.0267238  0.08903916 0.16463739 0.20187531 0.0324135
 0.15225456 0.03921768 0.03111823 0.04051539 0.04830418 0.04876579]"
RandomForest,Without pumin1_4d,0.6039215686274509,0.10330933233191755,0.6272727272727272,0.12368685837550637,0.6055555555555555,0.10851124991458118,0.6058980785296575,0.08335034949583843,"[[0.02044021 0.02044021]
 [0.05034067 0.05034067]
 [0.02632094 0.02632094]
 [0.05540333 0.05540333]
 [0.04070168 0.04070168]
 [0.03095005 0.03095005]
 [0.03487311 0.03487311]
 [0.00591293 0.00591293]
 [0.00564642 0.00564642]
 [0.03858342 0.03858342]
 [0.04579609 0.04579609]
 [0.01209431 0.01209431]]"
GradientBoosting,Without pumin1_4d,0.580392156862745,0.12803786444952553,0.5750971250971252,0.10273096313551733,0.6527777777777777,0.1541604102834623,0.6072192513368984,0.11430098189158343,"[0.08857248 0.40769182 0.5154145  0.84806349 0.65092954 0.49464105
 0.53567817 0.04536227 0.06412408 0.87022836 0.75044314 0.27368827]"
SVM,Without pumin1_4d,0.6143790849673203,0.15428159606609748,0.601010101010101,0.12473827308311584,0.6805555555555556,0.19285061064121978,0.634468524251806,0.14726274292367644,"[0.055563   0.02071329 0.04063098 0.15083023 0.12713874 0.04785271
 0.08593385 0.03401391 0.03301033 0.09708209 0.06194009 0.06287438]"
LogisticRegression,Without pumin5_8d,0.5908496732026144,0.12161781280641054,0.5625180375180374,0.12938439305699934,0.65,0.2673602092336881,0.5913555725320432,0.17703894691663155,"[0.07775252 0.01320622 0.08665285 0.14953498 0.18971332 0.04282013
 0.14701949 0.03964117 0.03081469 0.03255736 0.07595881 0.08323404]"
RandomForest,Without pumin5_8d,0.54640522875817,0.11400311691720338,0.5627777777777778,0.1528292842470212,0.4916666666666667,0.14043582955293932,0.5162795374560081,0.1268000345798003,"[[0.01731304 0.01731304]
 [0.04256562 0.04256562]
 [0.02246108 0.02246108]
 [0.05130616 0.05130616]
 [0.03943475 0.03943475]
 [0.03074781 0.03074781]
 [0.03552854 0.03552854]
 [0.00731672 0.00731672]
 [0.00504152 0.00504152]
 [0.03584657 0.03584657]
 [0.05297963 0.05297963]
 [0.04439106 0.04439106]]"
GradientBoosting,Without pumin5_8d,0.5816993464052288,0.09929479223442063,0.5996464646464646,0.11668323814268662,0.6083333333333334,0.15224655117827468,0.5896128707893414,0.08250231911047562,"[0.15659213 0.28368165 0.4207029  0.91199067 0.72306536 0.39732465
 0.5893462  0.03885758 0.08077696 0.74975362 0.83426106 0.60361719]"
SVM,Without pumin5_8d,0.6607843137254903,0.1227018654679374,0.6667460317460316,0.14185104270662383,0.6694444444444444,0.10408329997330665,0.6658410732714138,0.11764778302603307,"[0.05070973 0.02511263 0.04515976 0.13862339 0.11637909 0.04878129
 0.0727078  0.0358223  0.02960274 0.07698533 0.06547646 0.11705706]"
LogisticRegression,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.6032679738562091,0.10477105835039938,0.5845238095238096,0.11617974189291287,0.6944444444444444,0.19934305686676837,0.6257142857142857,0.13311759757665587,"[0.075401   0.02589489 0.09990687 0.21483777 0.20151992 0.03864047
 0.14597838 0.04271411 0.03725417]"
RandomForest,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.6150326797385621,0.09895865161458897,0.6233333333333333,0.10803189679643775,0.6666666666666666,0.17235657841653965,0.6250125313283208,0.10699546061765994,"[[0.0298136  0.0298136 ]
 [0.06004412 0.06004412]
 [0.0351902  0.0351902 ]
 [0.07506499 0.07506499]
 [0.05969261 0.05969261]
 [0.04444948 0.04444948]
 [0.04183809 0.04183809]
 [0.00711476 0.00711476]
 [0.00868207 0.00868207]]"
GradientBoosting,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.5457516339869282,0.08937774072664934,0.5642857142857143,0.11029747449429018,0.6444444444444445,0.17799465937334213,0.5777269260106788,0.08548999540876477,"[0.37264902 0.65000116 0.41184947 0.95941266 0.73853578 0.59253519
 0.74572163 0.08948537 0.15729077]"
SVM,"Without Pumin1_4u, Pumin1_4d, Pumin5_8u, Pumin5_8d",0.592156862745098,0.13607334566978407,0.5893939393939395,0.13682674820585822,0.6694444444444444,0.10408329997330663,0.624079807361541,0.11811452960323501,"[0.06495941 0.0347982  0.04800908 0.21156629 0.15726368 0.06718547
 0.11329195 0.04074164 0.04426883]"
