Model,Feature Set,E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d
RandomForest,Without E_3,[0.01464698 0.01464698],[0.01482286 0.01482286],[0.06648118 0.06648118],[0.02281249 0.02281249],[0.04195901 0.04195901],[0.01348282 0.01348282],[0.00366305 0.00366305],[0.07112993 0.07112993],[0.03449023 0.03449023],[0.02079304 0.02079304],[0.0558193 0.0558193],[0.05361635 0.05361635],
GradientBoosting,Without E_3,0.16744067223900155,0.22025420434736226,0.5753127855003309,0.3048394453585603,0.5751366480515487,0.24163799972537903,0.03245783901287845,1.1969670213517687,0.3682708206772711,0.2522504089274412,0.6151995765853083,0.771151481753108,
SVM,Without E_3,0.041749381142271856,0.031018335009649938,0.017319427586401197,0.07882625894372472,0.08083609141859402,0.014368796055436084,0.01960725076036286,0.15555146092790012,0.04968779516624268,0.0703272576554761,0.1109542353074227,0.0971965420418123,
LogisticRegression,Without seedNumber_3,0.03737195186022117,0.038206857873121766,0.018760412508367637,0.14334730832625836,0.13371926030415485,0.011565261181287059,0.021495602864165696,0.12456935002795459,0.08828901688471966,0.04350942503378179,0.1318190905797878,0.10909143080046615,
RandomForest,Without seedNumber_3,[0.01394372 0.01394372],[0.01498957 0.01498957],[0.05810462 0.05810462],[0.02235718 0.02235718],[0.04585292 0.04585292],[0.0145228 0.0145228],[0.0195096 0.0195096],[0.06560149 0.06560149],[0.03108392 0.03108392],[0.01928571 0.01928571],[0.05209287 0.05209287],[0.05223126 0.05223126],
GradientBoosting,Without seedNumber_3,0.15107939184410038,0.19651206380103892,0.5717560388862211,0.3076361659992529,0.5429071450865036,0.22505510047811583,0.23623220963850744,1.2157228140200071,0.36459185304088804,0.21554077353205034,0.6166300222178258,0.835707753097134,
SVM,Without seedNumber_3,0.04072320306789173,0.031274136842198444,0.01542026896481383,0.06343081926172509,0.07244263077676952,0.017638063065568064,0.03922786891385886,0.15966731397365216,0.04255214926558404,0.0652982707191494,0.11528826613145007,0.09427249635514263,
LogisticRegression,Without E_diff_12,0.03323102045766426,0.03386701396966823,0.020419751451246932,0.19954730934064135,0.14848979424555855,0.011192492348735858,0.0427270459245509,0.052140902201880404,0.11281732347190995,0.03446215040768076,0.12982999628893738,0.11117593491793043,
RandomForest,Without E_diff_12,[0.01156096 0.01156096],[0.01701137 0.01701137],[0.07319297 0.07319297],[0.03278178 0.03278178],[0.04187899 0.04187899],[0.01338611 0.01338611],[0.02646157 0.02646157],[0.00330059 0.00330059],[0.03697265 0.03697265],[0.019653 0.019653],[0.05989292 0.05989292],[0.05253419 0.05253419],
GradientBoosting,Without E_diff_12,0.11330486651606486,0.3115896746823113,0.8782634917811393,0.4370743802126798,0.4166202091114088,0.2621453454627486,0.11615776698679736,0.03826438919800086,0.41686469076707533,0.2307245651858175,0.704434262722782,0.6706386727294017,
SVM,Without E_diff_12,0.03325145045032617,0.041062903695952536,0.021055324629466066,0.141734391541685,0.08719221902575928,0.022859232748158688,0.05822971533559186,0.03445648896871366,0.11761174469882688,0.0922383509267358,0.11641144096426344,0.07050946333746702,
LogisticRegression,Without pumin1_4u,0.03471584470208993,0.05054526272286566,0.015094694590823063,0.14067333578060268,0.15380033855928915,0.010634315152489169,0.06798237964676711,0.07331097749042977,0.14764710905176362,0.03854478877996846,0.1329699376789788,0.10575146663924676,
RandomForest,Without pumin1_4u,[0.01419369 0.01419369],[0.01647994 0.01647994],[0.06083253 0.06083253],[0.02266016 0.02266016],[0.04740468 0.04740468],[0.01291919 0.01291919],[0.0235157 0.0235157],[0.00357857 0.00357857],[0.07285156 0.07285156],[0.02056928 0.02056928],[0.05915737 0.05915737],[0.05439161 0.05439161],
GradientBoosting,Without pumin1_4u,0.19882168699888694,0.22134751802301658,0.47744428493821156,0.29649519490524945,0.6353664765163691,0.24338747763936683,0.31444380153995216,0.06683814606982144,1.3289577281570901,0.2710640792545961,0.6791454150100787,0.799335025473404,
