Model,Feature Set,Accuracy Mean,Accuracy Std,Precision Mean,Precision Std,Recall Mean,Recall Std,F1 Mean,F1 Std,SHAP Values
SVM,Without pumin1_4u,0.7220689655172412,0.06570209855897688,0.7750749250749251,0.0931749332281364,0.6352380952380952,0.06677542149698323,0.6959706959706959,0.06869474838175178,"[0.03364421 0.02828499 0.01614378 0.05056152 0.07836847 0.01654565
 0.0540259  0.03244219 0.17422033 0.05534422 0.11707845 0.10437899]"
LogisticRegression,Without pumin5_8u,0.6871264367816091,0.1325829060567945,0.6860116354234,0.13270523670583917,0.6876190476190477,0.14771425501212418,0.6854022988505747,0.1375750194704555,"[0.03141141 0.04475181 0.01584479 0.14345201 0.14457407 0.00855181
 0.06364996 0.0766259  0.1260428  0.08561156 0.12691116 0.11188074]"
RandomForest,Without pumin5_8u,0.6954022988505747,0.06610144859338168,0.7270929070929071,0.10799182131450917,0.6485714285714285,0.025977488946639715,0.6829101932550208,0.05696305929137413,"[[0.01481513 0.01481513]
 [0.01401179 0.01401179]
 [0.06180488 0.06180488]
 [0.0239911  0.0239911 ]
 [0.04023575 0.04023575]
 [0.01385466 0.01385466]
 [0.02343646 0.02343646]
 [0.00354275 0.00354275]
 [0.07231157 0.07231157]
 [0.03549596 0.03549596]
 [0.05698096 0.05698096]
 [0.05626106 0.05626106]]"
GradientBoosting,Without pumin5_8u,0.6685057471264367,0.06806539020993879,0.6732509157509157,0.08188501313280576,0.660952380952381,0.06669387200004416,0.6659420520154671,0.06911582764246305,"[0.15955297 0.21259064 0.5812377  0.28362837 0.5346943  0.17736499
 0.2424756  0.04396609 1.17397581 0.40699034 0.51799656 0.86682265]"
SVM,Without pumin5_8u,0.6818390804597702,0.049408711467977824,0.7154456654456653,0.07911164570250523,0.6514285714285715,0.133006401905494,0.6674384236453202,0.057143177999589886,"[0.0420345  0.03423707 0.01463362 0.06733586 0.08172595 0.02160096
 0.06968129 0.03713783 0.15790691 0.06092694 0.11001413 0.10229595]"
LogisticRegression,Without pumin1_4d,0.6747126436781609,0.06043835117298384,0.6640129736104969,0.05929674419757532,0.7161904761904763,0.08819685259268745,0.6865711356845297,0.059178695279703215,"[0.03881168 0.03242166 0.01509341 0.17677302 0.15095237 0.01611427
 0.07116087 0.07491607 0.13038211 0.09589272 0.02678961 0.15652942]"
RandomForest,Without pumin1_4d,0.7160919540229885,0.07562484679500431,0.7621428571428572,0.14398837821582858,0.6761904761904762,0.09618576131773408,0.7041879060469765,0.069969575063952,"[[0.01489934 0.01489934]
 [0.01843086 0.01843086]
 [0.0592212  0.0592212 ]
 [0.02776002 0.02776002]
 [0.04763994 0.04763994]
 [0.0174177  0.0174177 ]
 [0.02180873 0.02180873]
 [0.00347106 0.00347106]
 [0.07406188 0.07406188]
 [0.03508859 0.03508859]
 [0.01614317 0.01614317]
 [0.05794686 0.05794686]]"
GradientBoosting,Without pumin1_4d,0.6618390804597701,0.045208519979851834,0.6732142857142858,0.06906814144933471,0.6485714285714285,0.025977488946639715,0.6582276603633667,0.03348965306533012,"[0.14910287 0.18916443 0.49627479 0.40276018 0.55974858 0.22643045
 0.22190261 0.0457915  1.32843941 0.44092386 0.19567078 0.93273244]"
SVM,Without pumin1_4d,0.6944827586206896,0.10512661524022747,0.7092948717948718,0.1292727979072317,0.7019047619047618,0.03922144815614092,0.7020545314900153,0.08340717668076722,"[0.04924757 0.03084599 0.01303471 0.07319352 0.10786374 0.02261966
 0.06381123 0.03898286 0.15821449 0.07964863 0.06361683 0.14198675]"
LogisticRegression,Without pumin5_8d,0.680919540229885,0.10654521424892803,0.6649285355167709,0.08800460483067561,0.7161904761904763,0.15420338779435502,0.6866602622442445,0.11556150461938387,"[0.0300477  0.02912807 0.01601453 0.13511708 0.15755992 0.00738561
 0.0672008  0.06232069 0.12068143 0.08511006 0.04662444 0.17048102]"
RandomForest,Without pumin5_8d,0.6551724137931034,0.07034633008687637,0.6654545454545454,0.08339887229948884,0.6342857142857143,0.0835927933618731,0.6467550839964634,0.07374633741008182,"[[0.01408585 0.01408585]
 [0.01642994 0.01642994]
 [0.05496464 0.05496464]
 [0.02926426 0.02926426]
 [0.04321526 0.04321526]
 [0.01447143 0.01447143]
 [0.02153042 0.02153042]
 [0.00399234 0.00399234]
 [0.07110184 0.07110184]
 [0.0335263  0.0335263 ]
 [0.02051052 0.02051052]
 [0.07389243 0.07389243]]"
GradientBoosting,Without pumin5_8d,0.6344827586206896,0.07169687073796221,0.6599949070537305,0.10286987493915355,0.5952380952380951,0.05487565825100165,0.621384951307087,0.058364745544146564,"[0.18116816 0.17323337 0.5317209  0.28265208 0.56172421 0.14680222
 0.21528778 0.01833134 1.07511898 0.41486839 0.27743958 0.74987706]"
SVM,Without pumin5_8d,0.6813793103448276,0.08032632612196382,0.6977256077256078,0.08763769223653096,0.6476190476190476,0.10168645954315536,0.6685560268430124,0.08533258621040739,"[0.04316886 0.05260689 0.01302825 0.07074594 0.09276079 0.02179535
 0.06636032 0.03503574 0.14282678 0.06101845 0.08055521 0.14724373]"
