E_1,Pu1_1,Pu2_1,E_hybrid_1,seedNumber_1,seedEbest_1,E_3,ED2_3,seedNumber_3,E_diff_12,pumin1_4u,pumin5_8u,pumin1_4d,pumin5_8d,Y
-20.02,8.0219e-5,0.216685,-26.47,8,-6.01,-5.71,5.79,2,-7.27,0.3639805,0.1704575,0.07233654,0.0728985,0.02
-17.08,0.00176758,0.0214878,-23.07,10,-3.94,-13.49,2.26,4,-7.720000000000002,0.6178988,0.3227876,0.4147256,0.4412792,0.16
-15.09,0.00700057,0.00950534,-20.75,8,-5.48,-12.77,1.83,4,-8.93,0.1588787,0.03179381,0.07999143,0.04281183,0.49
-21.82,8.29921e-5,1.20671e-8,-38.08,10,-9.65,-12.49,10.73,4,-10.600000000000001,0.3963653,0.5171612,0.03056149,0.1864002,0
-18.61,0.0017378,2.18614e-4,-27.31,8,-6.66,-12.45,3.39,4,-6.310000000000002,0.1314672,0.1644952,0.1196698,0.1466385,0
-15.21,4.17074e-6,2.30161e-8,-32.85,9,-7.93,-7.81,10.35,1,-9.68,0.02346506,0.0075521370000000004,0.5742967,0.3875112,0.01
-16.87,1.10788e-4,1.68056e-7,-31.41,12,-6.45,-10.99,9.18,2,-10.82,0.561284,0.138852,0.1884896,0.1651247,0.21
-16.93,9.18999e-5,6.88769e-9,-33.46,10,-3.82,-10.47,2.98,4,-6.460000000000001,0.4674979,0.06145732,0.4481405,0.2318194,0.63
-12.93,2.59105e-4,5.56623e-4,-22.2,11,-5.51,-9.41,3.43,4,-8.95,0.4109173,0.3118949,0.1201574,0.1011249,0.03
-8.94,0.0229991,1.50538e-10,-24.47,4,-2.25,-7.25,13.31,1,-9.430000000000001,0.08751728,0.658268,0.6008962,0.2373409,0
-8.19,0.0101739,9.11336e-6,-17.72,9,-1.7,-9.97,3.23,4,-12.76,0.474165,0.8066508,0.07770119,0.4548122,0.11
-22.25,9.03736e-7,1.38174e-4,-35.67,11,-6.66,-14.25,1.05,4,-10.689999999999998,0.544691,0.2589854,0.05951569,0.1574509,0.16
-18.08,0.00107986,9.92149e-6,-28.88,10,-5.33,-5.29,5.53,2,-3.460000000000001,0.1092522,0.680715,0.2363986,0.07926233,0.09
-18.77,0.00665264,2.61348e-5,-27.93,11,-5.51,-13.83,1.28,4,-9.350000000000001,0.4718209,0.4471204,0.3498353,0.4087479,0.2
-18.4,0.0012371,3.79814e-5,-28.33,8,-5.5,-7.09,5.43,1,-11.68,0.4362611,0.2427592,0.6318793,0.4268763,0.32
-14.8,0.00228073,1.3359e-6,-26.34,10,-5.03,-7.75,7.96,4,-10.14,0.1579799,0.2272269,0.601749,0.4968732,0.1
-13.28,0.0296761,4.28104e-11,-29.4,5,-3.36,-2.48,2.09,2,-4.970000000000001,0.4588608,0.3949093,0.3751031,0.4641079,0.03
-20.69,1.61046e-6,2.16791e-5,-34.86,12,-4.62,-6.46,0.1,2,-7.849999999999998,0.1911825,0.1737108,0.2874291,0.02998131,0.18
-19.99,2.77396e-6,0.0012583,-31.45,11,-5.42,-9.75,3.34,4,-8.100000000000001,0.5304324,0.1020472,0.05433676,0.006366067,0.17
-19.46,4.77687e-4,0.815537,-24.08,9,-7.27,-5.19,9.65,2,-4.849999999999998,0.6205298,0.2121224,0.4293251,0.1096195,0.12
-13.66,6.05981e-4,6.32822e-11,-31.84,6,-5.63,0,999999,0,-8.5,0.2345071,0.0596074,0.06319492,0.04289822,0.1
-16.12,7.06117e-4,7.3685e-5,-25.99,9,-3.56,-13.93,1.25,4,-9.34,0.2396387,0.3889168,0.310117,0.09918946,0.04
